Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
Global Asphalt,Asphalt & Bitumen Carrier,4098,6616,1991,110.6,In Service,Global Tankers,Global Tankers,Global Tankers,Panama,,IFO 380,Diesel 4-Stroke,,,860,2625,Unspec,,,,IC,3,,Y,8R32E,VASA 32,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Wartsila 4-stroke,14.25,7.05,17,Wartsila,Netherlands,India,658,Product Tankers,13.2
Altair,Product Carrier,4631,6084,1993,128.5,In Service,Odysseus Shipping,Odysseus Shipping,Odysseus Shipping,Russia,,MDO,Diesel 4-Stroke,,,,4420,,,,,IC,3,,Y,6CHRPN36/45,36/45,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,Dvigatel Revolyutsii,10,5.01,16.6,Dvigatel Revolyutsii,Russia,Russia,63,Product Tankers,10
Duke,Chemical Bulk Tanker,11118,19117,2003,140,In Service,Union Maritime Ltd,Union Maritime Ltd,Tune Chemical,Marshall Is.,,IFO 380,Diesel 4-Stroke,,,2398,6300,IFO 380,,,,IC,3,,Y,7M43,M43,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MaK,14,9.5,23,Caterpillar,Portugal,United Kingdom,212,Chemical Tankers,22
Canal Trader,Tanker,4502,8290,1969,119.18,Laid Up,Bunker Vessel Mgmt,Bunker Vessel Mgmt,,Panama,,MDO,Diesel 2-Stroke,,,,2451,Unspec,,,,IC,3,,Y,10-38D8-1/8,38D,Diesel 2-Stroke,"Small Product Tankers 2-9,999 dwt",,Fairbanks Morse,12.5,6.65,16.84,Fairbanks Morse,Canada,Panama,615,Product Tankers,12.5
Menna,Tanker,5391,9178,1974,131.88,In Service,Integrated Oil & Gas,Integrated Oil & Gas,Integrated Oil & Gas,Nigeria,,IFO 380,Diesel 4-Stroke,,,,3228,Unspec,,,,IC,3,,Y,R8V40/54,R40/54,Diesel 4-Stroke,"Small Product Tankers 2-9,999 dwt",,MAN Energy Solutions,14,6.84,18.65,MAN Energy Solutions,Canada,Nigeria,413,Product Tankers,22.5
Leo,Product Carrier,7686,12812,1975,142.48,Idle,Vegas Investments,Vegas Investments,,Comoro Islands,,IFO 180,Diesel 4-Stroke,,,,4266,IFO 380,,,,IC,3,,Y,8ZL40/48,40/48,Diesel 4-Stroke,"Handy Products Tankers 10-54,999 dwt",,Sulzer,12,8.62,17.8,Sulzer,Sweden,Lebanon,165,Product Tankers,12
Ship Ocean III,Chemical & Oil Carrier,21142,32442,1993,178.96,Idle,PT Argopuro,PT Argopuro,,Tuvalu,,IFO 380,Diesel 2-Stroke,,,,7943,,,,,IC,3,,Y,6L60MC Mk1,L60,Diesel 2-Stroke,"Handy Products Tankers 10-54,999 dwt",,MAN B. & W.,14,12.28,25.3,MAN Energy Solutions,Ukraine,Indonesia,1423,Product Tankers,28
Orient Well,Chemical Bulk Tanker,11324,16839,1998,144.05,In Service,Sino Chance,Sino Chance,Sino Chance,Panama,,IFO 180,Diesel 4-Stroke,,,,4800,MGO,,,,IC,3,,Y,8L40/54,40/54,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MAN Energy Solutions,13.5,8.7,23.03,MAN Energy Solutions,Singapore,Taiwan,1154,Chemical Tankers,
Bow Atlantic,Chem Parcel Tanker,10369,17460,1995,142.4,In Service,Odfjell ASA,Odfjell ASA,Odfjell ASA,Singapore,,IFO 380,Diesel 4-Stroke,,,,5999,IFO 380,,,,IC,3,40,Y,8M552C,M552,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,MaK,15.5,9.72,22.8,Caterpillar,Norway,Norway,262,Chemical Tankers,17.5
Star Taurus,Chemical Bulk Tanker,9382,14972,1994,145,In Service,Eagle Fleet Mgmt,Eagle Fleet Mgmt,Eagle Fleet Mgmt,Panama,,IFO 380,Diesel 4-Stroke,,,2328,4854,Unspec,,,,IC,3,,Y,12V32E,32,Diesel 4-Stroke,"Chemical Tankers 10,000+ dwt",,Wartsila 4-stroke,12,8.32,22.5,Wartsila,Singapore,Panama,8632,Chemical Tankers,15.5
