Name,Type,GT,Dwt,Built,LOA (m),Status,Owner,Group Owner,Operator,Flag State,SOx Scrubber Status,Main Engine Fuel Type,Power Type,Total Installed Diesel Cap. (kW),TEU,Auxiliary Engine 1 (mkW),Main Engine 1 (mkW),Main Bunker Fuel Type,Ancillary Engine Fuel Type,Design Speed,Main Consumption at Design Speed (tpd),Ice Class Equivalent (Fi-Sw),Ice_class_level,Price_NB,Ice Class (Ind),Main Engine Model,Main Engine Model Series,Power Type,SFC Vessel Types,OFC Vessel Types,Main Engine Model Designer,Speed (knots),Draught (m),Beam (m),Main Engine Model Designer group,Builder Country/Region,Owner Nationality/Region,Hull No,Fleet Type,Consumption (tpd)
MTT Tanjung Manis,Fully Cellular Container,9978,12310,1999,149,In Service,MTT Shipping,MTT Shipping,MTT Shipping,Malaysia,,IFO 380,Diesel 2-Stroke,,1145,,11472,,,,,IC,3,,Y,6L60MC Mk4,L60,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Malaysia,113,Containerships,43.5
Roseline A,Fully Cellular Container,11153,16727,1998,148,In Service,Arkas Shipping,Arkas Shipping,Arkas Line,Turkey,,IFO 380,Diesel 2-Stroke,,1122,1500,9479,,,,,IC,3,,Y,6S50MC-C Mk5,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,18.5,9.03,24.5,MAN Energy Solutions,Germany,Turkey,478,Containerships,38
Admiral Galaxy,Fully Cellular Container,21092,26811,2008,182.85,In Service,Admiral Container,Admiral Container,Admiral Container,Liberia,,IFO 380,Diesel 2-Stroke,,1878,,13280,IFO 380,,22,,IC,3,,Y,8S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,28,MAN Energy Solutions,Turkey,Ukraine,153,Containerships,50
Asiatic Cloud,Fully Cellular Container,9978,12477,2007,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Orient Express Lines,Singapore,,IFO 380,Diesel 2-Stroke,,1061,,11620,,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,141,Containerships,43.5
Asiatic Wave,Fully Cellular Container,9978,12477,2007,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,KMTC,Singapore,,IFO 380,Diesel 2-Stroke,,1061,,11620,,,,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,142,Containerships,43.5
Asiatic Neptune,Fully Cellular Container,9978,12477,2007,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Orient Express Lines,Singapore,,IFO 380,Diesel 2-Stroke,,1061,,10500,IFO 380,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,143,Containerships,43.5
Asiatic Horizon,Fully Cellular Container,9978,12477,2008,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Caribbean Feeder,Singapore,,IFO 380,Diesel 2-Stroke,,1061,,11620,,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,147,Containerships,43.5
Spirit of Dubai,Fully Cellular Container,9978,12477,2009,149.6,In Service,Asian Spirit SS,Asian Spirit SS,Unimed Feeder UFS,Madeira,,IFO 380,Diesel 2-Stroke,,1131,,10500,,,20.2,,IC,3,,Y,7S50MC-C8.2,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,148,Containerships,43.5
Asiatic Moon,Fully Cellular Container,9978,12477,2006,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Sealand,Singapore,,IFO 380,Diesel 2-Stroke,,1061,,10500,IFO 380,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,19,7.8,22.7,MAN Energy Solutions,Turkey,Germany,139,Containerships,43.5
Asiatic Bay,Fully Cellular Container,10308,12477,2007,149.6,In Service,Asiatic Lloyd,Asiatic Lloyd,Wan Hai Lines,Singapore,,IFO 380,Diesel 2-Stroke,,1155,,10500,MDO,,20.2,,IC,3,,Y,7S50MC-C8.1,S50,Diesel 2-Stroke,"Feeder 1-1,999 TEU",,MAN B. & W.,18,7.8,22.7,MAN Energy Solutions,Turkey,Germany,140,Containerships,37
